GanjaCoin (MRJA),0.098489
Snovio (SNOV),0.033502
Tokes (TKS),2.53
HOQU (HQX),0.049853
BlockCAT (CAT),0.978524
Flixxo (FLIXX),0.184058
Speed Mining Service (SMS),23.57
Miners' Reward Token (MRT),0.134054
MaxCoin (MAX),0.098174
True USD (TUSD),0.997650
Monoeci (XMCC),1.09
Eroscoin (ERO),0.042860
XGOX (XGOX),0.001426
FedoraCoin (TIPS),0.000024
BitWhite (BTW),0.047882
Hexx (HXX),2.58
Vezt (VZT),0.091752
Zilla (ZLA),0.273136
vSlice (VSL),0.106365
Sphere (SPHR),3.28
TrustPlus (TRUST),0.104056
FlypMe (FYP),0.106956
Karbo (KRB),0.532317
Monkey Project (MONK),4.27
XPA (XPA),0.229525
AICHAIN (AIT),0.023263
Zap (ZAP),0.134567
PinkCoin (PINK),0.024748
Banyan Network (BBN),0.103608
Bitzeny (ZNY),0.035118
Leverj (LEV),0.055217
Aventus (AVT),1.49
Leadcoin (LDC),0.014037
Etheroll (DICE),2.46
HEROcoin (PLAY),0.043438
Universal Currency (UNIT),0.418625
ArcticCoin (ARC),0.059116
MAZA (MZC),0.001158
Kobocoin (KOBO),0.086519
Renos (RNS),0.039288
DopeCoin (DOPE),0.064263
Magnet (MAG),0.117262
Auroracoin (AUR),1.35
LatiumX (LATX),0.022791
Qvolta (QVT),0.350589
MyWish (WISH),0.200173
ATBCoin (ATB),0.192221
Canada eCoin (CDN),0.016337
Divi (DIVX),2.63
Riecoin (RIC),0.100093
Bitcoin Plus (XBC),46.13
Sharechain (SSS),0.001782
Novacoin (NVC),4.10
LALA World (LALA),0.031785
Syndicate (SYNX),0.537200
HollyWoodCoin (HWC),2.58
HyperStake (HYP),0.003817
Sharpe Platform Token (SHP),0.217845
Spectre.ai Utility Token (SXUT),0.290610
Ink Protocol (XNK),0.058102
Capricoin (CPC),1.33
Dovu (DOVU),0.100947
Mercury Protocol (GMT),0.017788
Russian Miner Coin (RMC),6233.55
NoLimitCoin (NLC2),0.068819
808Coin (808),0.000040
MedicCoin (MEDIC),0.062055
ICOS (ICOS),26.51
,4.59
SolarCoin (SLR),0.382899
Zeitcoin (ZEIT),0.000089
DIMCOIN (DIM),0.004240
Neumark (NEU),0.430947
PoSW Coin (POSW),0.388423
NuBits (USNBT),0.572309
Machinecoin (MAC),0.061295
IntenseCoin (ITNS),0.005012
Social Send (SEND),0.142915
Unitus (UIS),0.032517
Jiyo (JIYO),0.158674
Payfair (PFR),0.103481
Linx (LINX),0.185349
NaPoleonX (NPX),0.528437
Nework (NKC),0.038304
Bitswift (SWIFT),0.905856
WandX (WAND),0.099773
LOCIcoin (LOCI),0.141560
NewYorkCoin (NYC),0.000086
Qwark (QWARK),0.117890
Magi (XMG),0.382046
InsurePal (IPL),0.046613
InvestFeed (IFT),0.054817
Pareto Network (PARETO),0.061444
Pesetacoin (PTC),0.056129
